"Country Name","Country Code","Year","average_value_Contributing family workers, female (% of female employment) (modeled ILO estimate)","average_value_Contributing family workers, male (% of male employment) (modeled ILO estimate)","average_value_Contributing family workers, total (% of total employment) (modeled ILO estimate)","average_value_Employment in industry (% of total employment) (modeled ILO estimate)","average_value_Employment in industry, female (% of female employment) (modeled ILO estimate)","average_value_Employment in industry, male (% of male employment) (modeled ILO estimate)","average_value_Employment in services (% of total employment) (modeled ILO estimate)","average_value_Employment in services, female (% of female employment) (modeled ILO estimate)","average_value_Employment in services, male (% of male employment) (modeled ILO estimate)","average_value_Employment to population ratio, 15+, female (%) (national estimate)","average_value_Employment to population ratio, 15+, male (%) (national estimate)","average_value_Employment to population ratio, 15+, total (%) (national estimate)","average_value_GDP per person employed (constant 2017 PPP $)","average_value_Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","average_value_Labor force participation rate for ages 15-24, female (%) (national estimate)","average_value_Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","average_value_Labor force participation rate for ages 15-24, male (%) (national estimate)","average_value_Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","average_value_Labor force participation rate for ages 15-24, total (%) (national estimate)","average_value_Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","average_value_Labor force participation rate, female (% of female population ages 15+) (national estimate)","average_value_Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","average_value_Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","average_value_Labor force participation rate, male (% of male population ages 15+) (national estimate)","average_value_Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","average_value_Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","average_value_Labor force participation rate, total (% of total population ages 15+) (national estimate)","average_value_Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","average_value_Labor force, female (% of total labor force)","average_value_Labor force, total","average_value_Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","average_value_Ratio of female to male labor force participation rate (%) (national estimate)","average_value_Share of youth not in education, employment or training, female (% of female youth population)","average_value_Share of youth not in education, employment or training, male (% of male youth population)","average_value_Share of youth not in education, employment or training, total (% of youth population)","average_value_Unemployment, female (% of female labor force) (modeled ILO estimate)","average_value_Unemployment, female (% of female labor force) (national estimate)","average_value_Unemployment, male (% of male labor force) (modeled ILO estimate)","average_value_Unemployment, male (% of male labor force) (national estimate)","average_value_Unemployment, total (% of total labor force) (modeled ILO estimate)","average_value_Unemployment, total (% of total labor force) (national estimate)","average_value_Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","average_value_Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","average_value_Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","average_value_Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","average_value_Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","average_value_Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","average_value_Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","average_value_Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","average_value_Wage and salaried workers, total (% of total employment) (modeled ILO estimate)"
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","1995","13.2469685134478","6.28673571721059","8.81655998162943","22.6001648068655","16.0891610022968","26.3138539819918","56.9601496101025","73.3762389572526","47.5925617370113","39.8971708772111","75.407484219025","57.0290970691273","30789.2396051174","41.7277084672033","42.3229210240688","69.139106965472","70.5957672446197","55.400005130845","56.4433454918278","45.5189625388931","44.9704621718281","48.6395517167449","80.9683410707779","81.6701509559903","84.1135843070622","62.8042590377366","62.70148848971","66.0860050605835","37.1334105538816","191040689","56.6591980925216","55.5034377430265","","","","9.71226491083166","10.1909887583594","6.5555405843396","6.82100496170422","7.72822484396622","8.08286236815683","17.5414474213405","","11.8670771522186","","14.024494332682","","59.2754015955088","57.8083417719422","58.3372486485938"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1991","33.2880530230191","8.65109048118445","12.7489383682262","24.1642966397453","19.1011412127961","25.1859777046382","42.6654640618215","36.9529517719103","43.804950581026","","","","28740.2783269565","17.2629557749384","","56.6593418856151","","37.2886395978803","","16.5318330298677","","17.5540963985189","76.1703890003838","","78.4895648515468","46.3721138814825","","48.2005227494661","17.8120165586017","60791364","22.2013657774082","","","","","17.8112221097789","21.0180284697122","10.6077685039141","10.6540440023567","11.8910410577226","12.4589538645358","30.8181796222649","","21.498423857035","","23.7962121692043","","48.0670069495444","57.1910470103017","55.6820689418593"
"Trinidad and Tobago","TTO","2018","0.759999990463257","0.180000007152557","0.419999986886978","26.8600006103516","12.460000038147","37.4700012207031","70.0299987792969","86.1500015258789","58.1500015258789","","","","56415.145141586","32.82","","48.77","","40.88","","50.41","","58.15","71.03","","79.42","60.53","","68.73","42.4202411697314","669487","70.9700126707025","","","","","3.37","","3.41","","3.4","","8.67","","9.06","","8.9","","83.5999984741211","69.5999984741211","75.5400009155273"
"Uganda","UGA","2020","","","","","","","","","","","","","6182.02504753878","","","","","","","","","","","","","66.88","","","","16514595","","","","","","","","","","2.44","","","","","","","","","",""
"World","WLD","1992","29.1361387265151","13.2510127896165","19.471980528306","21.7303608442655","18.4954704359134","23.8145965664899","34.7961671625854","38.9418711831902","32.1247011835758","","","","22913.8706424409","48.5923048242143","","65.9758107120179","","57.4599165479786","","51.1647570958099","","56.0428261112819","79.964104242911","","84.1875195789308","65.5230106066059","","70.2767425294652","39.1620690190944","2408837488","66.9207022525601","","","","","4.89966840700584","","4.95823499345522","","4.93396989635194","","11.2352716586529","","11.1499411604729","","11.1267555731783","","45.1754031900189","43.4729590681639","44.1434697430435"
"World","WLD","2001","25.77514666532","11.0673902919341","16.8652955908519","20.6299054228242","16.3961936473674","23.3829705042762","39.8015986172923","44.7724103818219","36.56733422336","","","","26317.2797785419","42.0794749859386","","60.6128252578166","","51.5475079241447","","50.6954180360808","","55.4933552270348","78.2156919706002","","82.7284132734818","64.4128996517692","65.092249278616","69.2545616287691","39.4745476480657","2798178816","67.6413406616552","","","","","6.00800555011336","","5.78068529364915","","5.86966052159549","5.99592238786788","14.7726735531674","","13.7820210982682","","14.0353278400844","","46.5733269206103","44.8304965382201","45.5186717390841"
"Kosovo","XKX","2011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yemen, Rep.","YEM","1992","46.3699989318848","8.56999969482422","16.2099990844727","11.710000038147","2.34999990463257","14.0799999237061","33.5999984741211","11.5900001525879","39.1699981689453","","","","","15.82","","49.92","","33.09","","16.8","","17.45","73.33","","75.59","44.43","","45.97","19.3296272912162","2806588","22.9101322787399","","","","","3.83","","9.26","","8.21","","8.96","","19.17","","16.76","","28.5799999237061","54.3800010681152","49.1699981689453"
"Zimbabwe","ZWE","2007","6.15000009536743","5.21000003814697","5.69000005722046","9.21000003814697","3.36999988555908","15.1499996185303","25.25","24.9400005340576","25.5599994659424","","","","4996.67427634323","68.47","","79.5","","73.76","","77.14","","77.9","88.3","","88.9","82.29","","83.03","50.5059751383661","5930825","87.361268403171","","","","","4.78","","4.36","","4.57","","8.17","","6.97","","7.55","","27.2000007629395","45.4500007629395","36.2400016784668"
"Afghanistan","AFG","1994","87.9100036621094","30.5900001525879","39.0699996948242","11.4799995422363","14.0500001907349","11.039999961853","24.0799999237061","9.61999988555908","26.5900001525879","","","","","14.3","","63.71","","40.19","","15.36","","15.88","78.63","","80.56","48.08","","49.41","15.4276089479101","4267544","19.5345288057993","","","","","14.76","","11.09","","11.65","","22.79","","17.25","","18.19","","1.36000001430511","9.01000022888184","7.88000011444092"
"Afghanistan","AFG","1990","","","","","","","","","","","","","","14.23","","64.26","","40.11","","15.32","","15.83","79.16","","81.01","47.79","","49.07","15.7537402874824","3066275","19.3532086912582","","","","","","","","","","","","","","","","","","",""
"Belgium","BEL","2008","2.19000005722046","0.430000007152557","1.21000003814697","24.6700000762939","10.2799997329712","36.1800003051758","73.7799987792969","88.6900024414063","61.8499984741211","43.35","56.91","49.93","116969.418928943","31.03","30.78","36.48","35.97","33.8","33.4","46.73","46.91","60.75","60.84","60.85","73.54","53.6","53.68","67.2","44.7377244061679","4766246","76.8080210387903","77.0912078882498","11.1000003814697","9.1899995803833","10.1400003433228","7.6","7.6","6.47","6.47","6.98","6.98","18.68","18.72","17.29","17.35","17.92","17.97","89.25","83","85.7799987792969"
"Belize","BLZ","2012","4.01999998092651","3.78999996185303","3.86999988555908","15.960000038147","8.60999965667725","19.9899997711182","65.4199981689453","87.25","53.439998626709","41.79","74.35","57.8","19034.6705321961","34","42.08","62.18","64.58","48.04","53.18","46.8","53.67","48.89","80","81.64","82.69","63.29","67.42","65.63","37.2167687127981","140786","58.5","65.7398334149927","13.7200002670288","10.1400003433228","11.9499998092651","12.72","","5.8","","8.38","","26.41","","11.55","","16.83","","72.0999984741211","66.0400009155273","68.1900024414063"
"Botswana","BWA","1999","1.4099999666214","1.05999994277954","1.21000003814697","21.6399993896484","15.039999961853","26.6299991607666","58.0400009155273","69.8399963378906","49.1199989318848","","","","39006.3321317243","36.5","","44.27","","40.29","","49.55","","51.48","70.22","","71","59.26","","60.71","44.3147337936564","578724","70.5639418968955","","","","","20.55","","16.58","","18.34","","40.33","","32.39","","36.08","","75.6999969482422","80.5","78.4400024414063"
"Cote d'Ivoire","CIV","1993","49.5999984741211","26.0900001525879","33.9900016784668","13.2700004577637","11.8999996185303","13.960000038147","34.0099983215332","35.6100006103516","33.2000007629395","","","","11479.8212806812","41.76","","64.06","","53.08","","48.39","","49.01","83.65","","83.91","67.24","","67.69","33.4944223932739","4944056","57.8481769276748","","","","","5.56","","5.97","","5.84","","7.1","","8.42","","7.91","","5.19000005722046","24.5699996948242","18.0599994659424"
"Denmark","DNK","2002","1.46000003814697","0.280000001192093","0.829999983310699","23.4899997711182","12.25","33.2200012207031","73.3000030517578","86.120002746582","62.2000007629395","57.64","68.24","62.83","95601.4860958365","67.13","67.04","71.41","70.58","69.3","68.82","60.28","60.24","75.44","72.13","71.26","84.1","66.1","65.64","79.82","46.4368158849436","2890687","83.5713295438791","84.5355037889419","","","","4.32","4.32","4.24","4.24","4.27","4.27","5.19","5.21","8.74","8.83","7.05","7.07","94.8399963378906","87.9100036621094","91.129997253418"
"Algeria","DZA","2007","3.96000003814697","3.89000010490417","3.90000009536743","28.3799991607666","25.4799995422363","28.8700008392334","55.9900016784668","68.2399978637695","53.8899993896484","","","","40836.5176213352","9.19","","50.3","","30.1","","13.45","","14.47","70.73","","75.13","42.28","","45.13","15.8007953197214","10401603","19.0159762477025","","","","","20.08","","12.61","","13.79","13.79","37.16","","25.6","","27.33","27.41","70.9499969482422","66.379997253418","67.0500030517578"
"Algeria","DZA","2010","2.53999996185303","2.45000004768372","2.47000002861023","30.2000007629395","24.3199996948242","31.25","57.9300003051758","72.1600036621094","55.3899993896484","11.45","63.28","37.55","39577.142248908","9.17","8.93","46.63","46.46","28.2","28.19","14.37","14.16","15.49","70","68.86","74.6","42.33","41.71","45.32","16.8828054093937","11074291","20.5285714285714","20.5634620970084","39.060001373291","10.7600002288818","24.5300006866455","19.09","19.1","8.11","8.11","9.96","9.96","37.37","37.57","18.88","18.68","21.84","21.54","73.5899963378906","65.9100036621094","67.0800018310547"
"Euro area","EMU","2019","0.764057513046253","0.437122933172251","0.586562047819773","23.4516490609623","11.5354848821481","33.5787194630668","73.5716224928057","86.6074757677842","62.4976547508319","47.5647249636395","58.8455342151067","53.0328350180318","104746.308416915","37.7712698375895","37.514463151008","43.0966649305636","42.8611444652802","40.50827127206","40.2592378907613","51.0935994330483","51.6515078748097","68.5041625905476","63.303785794184","63.4173062230303","78.8795110919649","57.0151724601527","57.3534291822289","73.7026022775382","46.1637015752749","165829851","80.9552563663157","81.7008238931579","10.0913814444046","10.1622166536919","10.1267458440004","7.93359652055294","7.92427969397177","7.23151996999493","7.21929390738895","7.55229856799245","7.54694833895166","18.2301702336909","18.2343996515173","18.2144603787112","18.2028712897246","18.1897879042048","18.1765072179473","89.2821821387756","82.0911340289122","85.391641057179"
"Eritrea","ERI","1995","37.9300003051758","52.5","46.0200004577637","9","5.36999988555908","11.9099998474121","21.1700000762939","17.1299991607666","24.4099998474121","","","","","72.91","","84.45","","78.66","","70.75","","73.08","90.89","","91.94","80.66","","82.4","44.5744947220917","910588","77.8413466828034","","","","","7.51","","6.35","","6.87","","11.89","","10.63","","11.22","","7.96000003814697","10.3500003814697","9.28999996185303"
"Gabon","GAB","2017","1.79999995231628","0.699999988079071","1.10000002384186","10.6499996185303","2.66000008583069","15.1700000762939","58.2400016784668","49.8199996948242","62.9900016784668","","","","56758.2434735925","15.62","","21.27","","18.46","","42.98","","44.67","61.13","","62.92","52.27","","54.1","40.1197306207689","681864","70.3091771634222","","","","","28.2","","14.39","","19.93","","42.15","","31.24","","35.82","","63.7999992370605","70.1500015258789","67.8600006103516"
"Heavily indebted poor countries (HIPC)","HPC","2018","32.6886877299339","13.6532542456462","22.2550482172248","10.7332805350282","7.66476082507755","13.267771682031","31.4966144569031","33.7250566982054","29.6569032255097","","","","6725.8036523465","47.9138451514687","","55.4156158408203","","51.6885682992666","","61.7506307570195","","63.1913253937005","76.6188231748102","","77.4852188200355","69.085398074024","","70.2813942957164","45.2845996984109","308021762","82.435214956883","","","","","4.7139069592301","","4.25755614454712","","4.46342579456075","","9.87851405529188","","8.32238203287061","","8.80121453847797","","14.077274927427","26.187754121141","20.7065631658317"
"Iran, Islamic Rep.","IRN","1996","21.4699993133545","3.47000002861023","5.55000019073486","31.3199996948242","35.6500015258789","30.7600002288818","45.1699981689453","47.2099990844727","44.9000015258789","9.86","69.65","40.14","41200.0902250632","10.63","10.61","51.44","50.99","31.57","30.73","10.65","10.64","11.18","74.23","74.76","75.67","43.05","43.12","43.98","12.1331956666705","16086199","14.3472989357403","14.2322097378277","","","","13.41","13.4","8.51","8.5","9.1","9.1","24.04","","17.53","","18.6","","57.6599998474121","54.1599998474121","54.560001373291"
"Kyrgyz Republic","KGZ","2020","","","","","","","","","","","","","13799.5795602584","","","","","","","","","","","","","54.98","","","","2440848","","","","","","","","","","7.89","","","","","","","","","",""
"Lao PDR","LAO","1991","37.7400016784668","30.7199993133545","34.2299995422363","2.79999995231628","2.21000003814697","3.38000011444092","10.3900003433228","7.15999984741211","13.6199998855591","","","","4520.12219030262","82.72","","67.7","","75.12","","80.04","","84.68","82.57","","84.68","81.28","","84.68","49.8840073709652","1978574","96.9359331476323","","","","","2.3","","2.59","","2.45","","4.09","","5.03","","4.52","","4.03999996185303","11.1300001144409","7.59000015258789"
"Lebanon","LBN","2019","1.14999997615814","0.839999973773956","0.910000026226044","23.5900001525879","12.9300003051758","26.8700008392334","65.0999984741211","77.5899963378906","61.25","25.09","63.39","43.25","43807.5132879253","17.44","28.75","42.88","50.07","30.1","39.18","23.11","29.29","25.63","72.15","70.41","76.34","47.5","48.79","51.07","24.4556696505195","2423712","32.030492030492","41.5992046584292","28.9099998474121","17.9400005340576","23.5400009155273","9.77","14.35","4.84","9.97","6.04","11.35","21.02","21.44","15.49","24.49","17.1","23.35","84.9899978637695","55.6100006103516","62.5299987792969"
"St. Lucia","LCA","2000","1.50999999046326","0.569999992847443","0.949999988079071","20.5699996948242","14.9200000762939","24.3799991607666","58.3600006103516","71.2900009155273","49.6500015258789","65.8","49.6","57.4","35931.9451220643","44.44","","62.18","","53.18","","52.98","62","58.46","75.25","75","80.82","63.8","69","69.38","42.6839353752547","67714","70.4053156146179","82.6666666666667","","","","21.27","20.79","12.93","12.64","16.49","16.49","38.06","","22.65","","29.19","","72.0299987792969","61.439998626709","65.6999969482422"
"St. Lucia","LCA","2002","1.19000005722046","0.490000009536743","0.779999971389771","17.4899997711182","11.3199996948242","21.8099994659424","62.1500015258789","75.8600006103516","52.560001373291","","","","34650.915436306","45.14","","61.5","","53.19","","54.61","","60.06","75.25","","80.67","64.63","","70.11","43.4531890772181","71447","72.5714285714286","","","","","24.15","23.86","17.5","17.29","20.39","20.39","43.18","","29.3","","35.28","","72.8399963378906","61.189998626709","65.9899978637695"
"Liechtenstein","LIE","2013","","","","","","","","","","51.9","67.89","59.75","","","46.94","","57.43","","52.22","","53.52","","","70.57","","","61.9","","","","","75.8395918945728","","","","","","","","","","","","","","","","","",""
"Low & middle income","LMY","2000","32.0845836434503","13.5239418839482","20.704939840492","19.1028333062382","16.8430935836022","20.5273418623478","32.6487702068063","34.8164219106485","31.2806350414715","","","63.4471298007957","11865.0502290597","42.1787302708921","42.7200011812488","62.6953421093547","63.1385257842248","52.6597881971448","53.1386669251586","51.038356575081","51.0011370668306","54.4605700145176","80.4915962608427","80.5126592276419","83.6799649066571","65.7935535477446","65.6132034240261","69.2335612406871","38.7061679100204","2227088278","66.7097450670299","66.2477297173114","","","","5.63621595024243","","5.57559720370745","","5.59818062759261","4.95532432827817","14.4216204277479","","13.4679976567128","","13.7235172534807","","35.7132439041379","36.1158585731426","35.9597752442718"
"Myanmar","MMR","2008","47.5099983215332","21.9500007629395","32.7200012207031","16.1499996185303","15.75","16.4500007629395","29.9599990844727","33.75","27.2000007629395","","","","5551.40894528487","61.73","","74.63","","68.12","","54.81","","58.61","83.43","","86.9","68.38","","72.16","42.1487548569783","23705068","65.6957928802589","","","","","0.79","","0.65","","0.71","","1.52","","1.34","","1.42","","29.4400005340576","28.7700004577637","29.0499992370605"
